Customer_ID,Age,Gender,Location,Monthly_Income (USD),Preferred_Flavour,Subscription_Plan,Monthly_Consumption (bottles),Satisfaction_Rating (1-5),Purchase_Intent_Next_Month
435,53,Male,Ajman,4682,Citrus,Premium,15,2,Yes
436,51,Female,Dubai,2987,Berry,Standard,12,2,Yes
437,48,Female,Abu Dhabi,9708,Berry,Standard,24,5,No
438,27,Male,Abu Dhabi,9816,Mango,Basic,27,4,No
439,36,Male,Abu Dhabi,3218,Citrus,Standard,5,2,No
440,49,Female,Sharjah,7016,Chocolate,Standard,25,1,No
441,18,Male,Sharjah,8881,Berry,Standard,6,3,No
442,22,Male,Ajman,3355,Berry,Basic,15,1,No
443,21,Female,Dubai,6265,Mint,Premium,29,3,No
444,33,Female,Ajman,6616,Chocolate,Standard,19,3,Yes
445,41,Male,Dubai,7582,Chocolate,Basic,24,2,Yes
446,33,Female,Sharjah,6135,Berry,Basic,27,2,Yes
447,19,Male,Sharjah,3560,Mango,Premium,29,1,Yes
448,45,Male,Sharjah,9428,Mint,Standard,4,3,No
449,49,Male,Ajman,3418,Chocolate,Standard,24,1,Yes
450,44,Female,Abu Dhabi,2954,Berry,Premium,6,4,Yes
451,37,Male,Abu Dhabi,9393,Chocolate,Premium,23,1,Yes
452,41,Male,Sharjah,2983,Mint,Basic,5,5,Yes
453,29,Male,Abu Dhabi,9291,Mint,Basic,12,1,No
454,52,Female,Abu Dhabi,2974,Citrus,Premium,22,5,No
455,50,Female,Ajman,6133,Berry,Standard,18,5,No
456,50,Female,Dubai,8471,Mint,Basic,21,5,Yes
457,54,Female,Sharjah,7370,Citrus,Basic,29,4,No
458,29,Female,Sharjah,5972,Citrus,Standard,14,1,Yes
459,20,Male,Ajman,7295,Chocolate,Basic,28,1,No
460,18,Female,Ajman,7721,Chocolate,Standard,26,4,No
461,50,Female,Abu Dhabi,2913,Citrus,Standard,19,3,No
462,57,Female,Sharjah,6549,Chocolate,Standard,25,2,No
463,27,Male,Dubai,2036,Mint,Premium,20,1,No
464,46,Female,Ajman,5387,Mango,Premium,8,2,Yes
465,30,Female,Dubai,3711,Mint,Premium,15,4,No
466,29,Male,Dubai,5020,Citrus,Standard,14,3,Yes
467,48,Female,Sharjah,2795,Citrus,Standard,18,3,Yes
468,19,Male,Sharjah,6036,Mint,Premium,6,3,Yes
469,52,Male,Ajman,7068,Chocolate,Basic,4,4,Yes
470,40,Male,Sharjah,6688,Chocolate,Standard,23,5,Yes
471,34,Male,Sharjah,7233,Citrus,Basic,19,5,No
472,43,Male,Sharjah,5111,Berry,Basic,5,2,No
473,25,Female,Dubai,3324,Chocolate,Standard,5,5,No
474,46,Male,Ajman,8367,Mint,Standard,6,5,No
475,43,Male,Abu Dhabi,2317,Chocolate,Basic,11,3,Yes
476,27,Female,Dubai,4396,Mint,Basic,27,3,No
477,43,Male,Sharjah,4162,Citrus,Premium,18,2,No
478,51,Female,Dubai,4745,Chocolate,Premium,10,1,Yes
479,58,Female,Sharjah,7442,Mint,Standard,9,2,Yes
480,24,Female,Sharjah,3591,Citrus,Premium,12,2,No
481,21,Male,Dubai,5111,Berry,Premium,23,4,No
482,28,Male,Ajman,7985,Mint,Premium,4,4,Yes
483,46,Male,Sharjah,8183,Berry,Premium,11,2,No
484,53,Female,Ajman,5930,Berry,Basic,26,2,No
485,42,Male,Abu Dhabi,3996,Mango,Standard,26,2,No
486,38,Male,Sharjah,7868,Chocolate,Premium,6,5,No
487,53,Male,Ajman,3312,Mint,Basic,7,4,Yes
488,27,Female,Ajman,3285,Berry,Basic,29,2,Yes
489,54,Female,Abu Dhabi,6311,Mango,Basic,28,3,Yes
490,26,Male,Ajman,9314,Citrus,Premium,18,3,No
491,41,Male,Ajman,4383,Mint,Premium,9,5,No
492,52,Male,Abu Dhabi,5239,Berry,Standard,18,5,No
493,52,Male,Sharjah,4139,Chocolate,Premium,24,1,No
494,53,Female,Ajman,8496,Mango,Premium,6,1,No
495,35,Female,Ajman,8714,Berry,Basic,28,1,Yes
496,56,Female,Ajman,9738,Chocolate,Standard,24,5,No
497,49,Female,Dubai,8959,Berry,Premium,24,5,No
498,41,Male,Abu Dhabi,3704,Mint,Premium,17,5,Yes
499,40,Male,Dubai,8924,Mint,Basic,23,3,No
500,49,Male,Abu Dhabi,2362,Mint,Basic,17,5,Yes
